Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
499,No Failure,1175.00,291,0
500,No Failure,55.00,12,0
501,No Failure,131.00,30,0
502,Out of Time,4428.00,1000,426
503,No Failure,575.00,141,0
504,No Failure,123.00,29,0
505,No Failure,1391.00,344,0
506,No Failure,167.00,40,0
507,No Failure,127.00,30,0
508,No Failure,115.00,26,0
509,Out of Time,4574.00,1000,573
510,Drones got Stuck,3942.00,871,450
511,No Failure,43.00,7,0
512,Out of Time,4548.00,1000,547
513,No Failure,4271.00,973,375
514,No Failure,107.00,24,0
515,No Failure,2801.00,661,151
516,No Failure,699.00,172,0
517,No Failure,983.00,243,0
518,Drones got Stuck,3376.00,765,311
519,No Failure,31.00,6,0
520,No Failure,79.00,17,0
521,No Failure,1887.00,458,45
522,No Failure,1797.00,443,15
523,Out of Time,4490.00,1000,487
524,No Failure,103.00,23,0
525,No Failure,247.00,60,0
526,No Failure,327.00,79,0
527,No Failure,2519.00,598,117
528,No Failure,1635.00,402,17
529,Out of Time,4284.00,1000,284
530,No Failure,1363.00,339,0
531,No Failure,4087.00,917,407
532,No Failure,1367.00,340,0
533,No Failure,303.00,74,0
534,No Failure,403.00,98,0
535,No Failure,147.00,35,0
536,No Failure,3527.00,814,258
537,No Failure,631.00,155,0
538,No Failure,523.00,129,0
539,Out of Time,4174.00,1000,174
540,Out of Time,4514.00,1000,511
541,No Failure,863.00,214,0
542,Out of Time,4418.00,1000,416
543,No Failure,483.00,117,0
544,Out of Time,4480.00,1000,477
545,Out of Time,4558.00,1000,558
546,No Failure,1059.00,262,0
547,Out of Time,4556.00,1000,555
548,Out of Time,4534.00,1000,534
549,No Failure,2757.00,640,188
550,No Failure,399.00,98,0
551,No Failure,187.00,45,0
552,No Failure,615.00,151,0
553,No Failure,1023.00,253,0
554,No Failure,43.00,8,0
555,No Failure,1851.00,453,32
556,Out of Time,4484.00,1000,483
557,No Failure,2265.00,540,95
558,No Failure,1191.00,296,0
559,No Failure,639.00,157,0
560,No Failure,127.00,29,0
561,No Failure,307.00,75,0
562,No Failure,451.00,110,0
563,Out of Time,4538.00,1000,535
564,No Failure,4055.00,909,410
565,No Failure,807.00,199,0
566,No Failure,463.00,114,0
567,No Failure,3297.00,752,285
568,Drones got Stuck,3816.00,879,295
569,No Failure,711.00,175,0
570,No Failure,1463.00,364,0
571,No Failure,491.00,120,0
572,No Failure,391.00,93,0
573,Out of Time,4550.00,1000,550
574,No Failure,3553.00,814,292
575,No Failure,2259.00,545,68
576,No Failure,267.00,65,0
577,Out of Time,4536.00,1000,533
578,No Failure,135.00,32,0
579,Out of Time,4372.00,1000,371
580,No Failure,1051.00,262,0
581,No Failure,3233.00,768,154
582,No Failure,483.00,118,0
583,No Failure,819.00,202,0
584,No Failure,1111.00,274,0
585,No Failure,3169.00,718,287
586,No Failure,883.00,218,0
587,No Failure,747.00,184,0
588,No Failure,499.00,122,0
589,Out of Time,4526.00,1000,526
590,No Failure,1543.00,383,0
591,No Failure,1235.00,307,0
592,No Failure,4155.00,943,374
593,Out of Time,4366.00,1000,365
594,Out of Time,4492.00,1000,489
595,No Failure,1507.00,374,0
596,No Failure,1643.00,405,12
597,No Failure,243.00,57,0
598,No Failure,1643.00,409,0
599,No Failure,103.00,23,0
600,Out of Time,4474.00,1000,470
601,No Failure,11.00,1,0
602,No Failure,1625.00,401,11
603,Out of Time,4542.00,1000,539
604,Out of Time,4376.00,1000,376
605,No Failure,751.00,187,0
606,No Failure,1331.00,330,0
607,No Failure,2297.00,547,99
608,No Failure,147.00,35,0
609,No Failure,255.00,61,0
610,No Failure,1669.00,409,23
611,No Failure,1619.00,401,5
612,No Failure,1905.00,461,50
613,No Failure,279.00,67,0
614,No Failure,4213.00,941,435
615,No Failure,507.00,124,0
616,No Failure,1267.00,314,0
617,Out of Time,4492.00,1000,488
618,Drones got Stuck,2930.00,703,113
619,No Failure,435.00,107,0
620,Out of Time,4514.00,1000,511
621,Out of Time,4538.00,1000,538
622,No Failure,15.00,1,0
623,No Failure,291.00,70,0
624,No Failure,583.00,144,0
625,No Failure,719.00,177,0
626,Out of Time,4244.00,1000,243
627,No Failure,967.00,239,0
628,No Failure,1267.00,315,0
629,No Failure,611.00,150,0
630,No Failure,1183.00,294,0
631,No Failure,855.00,211,0
632,No Failure,471.00,115,0
633,No Failure,107.00,24,0
634,No Failure,407.00,99,0
635,No Failure,1123.00,279,0
636,No Failure,679.00,167,0
637,No Failure,643.00,159,0
638,No Failure,487.00,119,0
639,No Failure,891.00,220,0
640,No Failure,131.00,30,0
641,No Failure,595.00,147,0
642,Out of Time,4480.00,1000,478
643,No Failure,819.00,202,0
644,No Failure,175.00,41,0
645,No Failure,135.00,32,0
646,No Failure,775.00,191,0
647,No Failure,399.00,97,0
648,No Failure,1991.00,483,49
649,Out of Time,4556.00,1000,552
