Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
461,Out of Time,1208.00,300,4
462,No Failure,411.00,100,0
463,Budget runs out,1284.00,296,27
464,Drones got Stuck,528.00,121,10
465,Drones got Stuck,152.00,27,10
466,Out of Time,1208.00,300,4
467,Out of Time,1276.00,300,21
468,No Failure,1163.00,287,5
469,No Failure,916.00,208,22
470,Drones got Stuck,1068.00,237,55
471,No Failure,1203.00,297,4
472,No Failure,311.00,74,0
473,Drones got Stuck,964.00,220,23
474,Drones got Stuck,624.00,144,17
475,Drones got Stuck,412.00,90,12
476,No Failure,1000.00,241,10
477,Drones got Stuck,1192.00,280,19
478,No Failure,976.00,217,28
479,Budget runs out,1280.00,277,45
480,No Failure,247.00,59,0
481,No Failure,667.00,163,0
482,Out of Time,1208.00,300,4
483,Drones got Stuck,828.00,195,12
484,Drones got Stuck,460.00,103,11
485,Drones got Stuck,1112.00,250,28
486,Out of Time,1220.00,300,7
487,Drones got Stuck,296.00,58,15
488,Drones got Stuck,800.00,174,34
489,Drones got Stuck,408.00,78,23
490,No Failure,839.00,186,34
491,Out of Time,1212.00,300,6
492,Drones got Stuck,372.00,82,15
493,Out of Time,1208.00,300,4
494,Drones got Stuck,896.00,211,13
495,Drones got Stuck,856.00,186,49
496,No Failure,759.00,187,2
497,Drones got Stuck,1144.00,257,35
498,No Failure,415.00,101,0
499,Budget runs out,1280.00,298,24
500,Out of Time,1244.00,300,13
501,No Failure,1091.00,269,2
502,No Failure,836.00,205,5
503,Drones got Stuck,760.00,172,18
504,Drones got Stuck,608.00,131,20
505,Drones got Stuck,384.00,77,18
506,Drones got Stuck,896.00,211,13
507,Drones got Stuck,1216.00,282,34
508,Out of Time,1212.00,300,5
509,No Failure,1135.00,274,10
510,Drones got Stuck,640.00,146,14
511,No Failure,335.00,81,0
512,Budget runs out,1284.00,277,50
513,Drones got Stuck,1128.00,251,60
514,Budget runs out,1284.00,285,69
515,No Failure,363.00,88,0
516,Out of Time,1212.00,300,5
517,No Failure,643.00,158,0
518,No Failure,903.00,220,4
519,No Failure,243.00,56,0
520,No Failure,371.00,89,0
521,No Failure,283.00,67,0
522,No Failure,463.00,112,0
523,Budget runs out,1284.00,292,31
524,No Failure,371.00,91,0
525,No Failure,215.00,51,0
526,Drones got Stuck,728.00,170,12
527,Drones got Stuck,616.00,121,50
528,Budget runs out,1280.00,299,24
529,No Failure,527.00,130,0
530,Budget runs out,1280.00,298,24
531,No Failure,367.00,89,0
532,Drones got Stuck,360.00,66,23
533,Out of Time,1260.00,300,20
534,Budget runs out,1280.00,299,22
535,No Failure,1107.00,273,4
536,Drones got Stuck,1188.00,277,22
537,No Failure,435.00,106,0
538,No Failure,475.00,112,0
539,Drones got Stuck,1244.00,296,16
540,Budget runs out,1280.00,283,38
541,Budget runs out,1280.00,293,29
542,Drones got Stuck,272.00,49,18
543,Drones got Stuck,520.00,116,13
544,Out of Time,1208.00,300,4
545,Drones got Stuck,488.00,87,34
546,Drones got Stuck,1124.00,266,23
547,No Failure,843.00,207,2
548,Drones got Stuck,308.00,48,28
549,No Failure,379.00,92,0
550,No Failure,767.00,187,2
551,Budget runs out,1280.00,298,24
552,No Failure,367.00,89,0
553,No Failure,371.00,84,0
554,No Failure,311.00,75,0
555,No Failure,795.00,196,2
556,Out of Time,1208.00,300,4
557,No Failure,883.00,215,2
558,No Failure,991.00,244,2
559,Drones got Stuck,1228.00,267,41
560,Drones got Stuck,368.00,64,43
561,Drones got Stuck,684.00,137,51
562,Drones got Stuck,1176.00,250,45
563,Out of Time,1208.00,300,4
564,No Failure,1068.00,228,48
565,Drones got Stuck,1024.00,243,13
566,Out of Time,1272.00,300,36
567,No Failure,455.00,111,0
568,Drones got Stuck,152.00,27,10
569,Drones got Stuck,424.00,95,16
570,No Failure,27.00,4,0
571,No Failure,423.00,103,0
572,Out of Time,1208.00,300,4
573,Drones got Stuck,1164.00,274,18
574,Out of Time,1216.00,300,6
575,Drones got Stuck,972.00,227,16
576,Out of Time,1224.00,300,8
577,Out of Time,1220.00,300,8
578,Drones got Stuck,1156.00,265,34
579,No Failure,383.00,94,0
580,Drones got Stuck,1128.00,268,16
581,No Failure,747.00,182,0
582,Out of Time,1208.00,300,4
583,No Failure,619.00,150,0
584,Drones got Stuck,1264.00,289,28
585,No Failure,35.00,4,0
586,No Failure,535.00,129,0
587,No Failure,455.00,111,0
588,Drones got Stuck,404.00,87,13
589,No Failure,519.00,128,0
590,Out of Time,1236.00,300,15
591,Out of Time,1228.00,300,10
592,No Failure,467.00,114,0
593,No Failure,816.00,197,8
594,Drones got Stuck,1212.00,276,28
595,Drones got Stuck,1044.00,228,34
596,No Failure,403.00,99,0
597,Out of Time,1260.00,300,23
598,Out of Time,1212.00,300,5
599,Drones got Stuck,184.00,33,12
600,Drones got Stuck,288.00,55,25
601,Drones got Stuck,700.00,159,16
602,Budget runs out,1280.00,299,37
603,Out of Time,1272.00,300,22
604,No Failure,239.00,58,0
605,Drones got Stuck,1108.00,247,47
606,No Failure,383.00,93,0
607,Out of Time,1208.00,300,4
608,Drones got Stuck,1216.00,291,14
609,Out of Time,1208.00,300,4
610,No Failure,443.00,106,0
611,Drones got Stuck,280.00,56,13
612,Drones got Stuck,472.00,98,19
613,Drones got Stuck,920.00,209,21
614,Drones got Stuck,404.00,85,15
615,Drones got Stuck,564.00,116,42
616,Drones got Stuck,704.00,162,14
617,No Failure,1011.00,248,4
618,Budget runs out,1280.00,281,41
619,Out of Time,1232.00,300,14
620,Budget runs out,1280.00,267,66
621,No Failure,583.00,144,0
622,Drones got Stuck,1256.00,287,28
623,No Failure,523.00,128,0
624,No Failure,932.00,199,38
625,Drones got Stuck,824.00,194,12
626,Out of Time,1256.00,300,20
627,Out of Time,1284.00,300,27
628,No Failure,699.00,173,0
629,Drones got Stuck,1144.00,265,30
630,Drones got Stuck,764.00,173,18
631,No Failure,1079.00,266,4
632,Drones got Stuck,684.00,159,12
633,Budget runs out,1280.00,297,25
634,Budget runs out,1280.00,290,33
635,No Failure,19.00,3,0
636,No Failure,531.00,130,0
637,Drones got Stuck,1032.00,238,20
638,Drones got Stuck,688.00,158,14
639,No Failure,827.00,203,2
640,Drones got Stuck,732.00,163,23
641,Out of Time,1260.00,300,17
642,Drones got Stuck,376.00,81,14
643,No Failure,308.00,71,6
644,No Failure,1183.00,291,4
645,Drones got Stuck,496.00,96,38
646,Drones got Stuck,528.00,108,23
647,No Failure,219.00,52,0
648,Drones got Stuck,1244.00,278,44
649,No Failure,607.00,151,0
650,Drones got Stuck,836.00,196,17
651,No Failure,643.00,159,0
652,No Failure,811.00,200,2
653,Budget runs out,1280.00,293,37
654,Out of Time,1208.00,300,4
655,Out of Time,1208.00,300,4
656,Drones got Stuck,1228.00,270,37
657,No Failure,407.00,100,0
658,No Failure,296.00,69,5
659,Out of Time,1244.00,300,13
660,Drones got Stuck,1072.00,242,48
661,Budget runs out,1284.00,295,32
662,Out of Time,1208.00,300,4
663,Drones got Stuck,332.00,63,20
664,No Failure,35.00,6,0
665,Drones got Stuck,1196.00,286,18
666,Drones got Stuck,272.00,55,12
667,No Failure,855.00,210,2
668,No Failure,767.00,182,13
669,Drones got Stuck,1012.00,230,32
670,Out of Time,1208.00,300,4
671,Drones got Stuck,1136.00,260,24
672,Drones got Stuck,680.00,158,12
673,No Failure,751.00,184,2
674,No Failure,331.00,80,0
675,Drones got Stuck,372.00,77,15
